Date, Open, High, Low,Adj_ Close
2011-11-22,7375.34,7408.61,7316.84,7318.04
2011-10-22,7296.25,7405.09,7253.36,7375.34
2011-09-22,7306.14,7307.8,7263.46,7296.25
2011-08-22,7299.99,7313.46,7244.83,7306.14
2011-07-22,7334.84,7346.66,7288,7299.99
2011-04-22,7188.63,7376.23,7188.63,7334.84
2011-03-22,7144.14,7188.63,7076.47,7188.63
2011-02-22,7186.16,7205.07,7130.5,7144.14
2011-01-22,7094.53,7221.32,7094.53,7186.16
10/31/22,7047.67,7132.85,7030.12,7094.53
10/28/22,7073.69,7073.69,6997.54,7047.67
10/27/22,7056.07,7093.05,7034.24,7073.69
10/26/22,7013.48,7057.42,6960.11,7056.07
10/25/22,7013.99,7025.22,6949.24,7013.48
10/24/22,6969.73,7047.37,6914.66,7013.99
10/21/22,6943.91,6976.19,6864.13,6969.73
10/20/22,6924.99,6954.21,6894.85,6943.91
10/19/22,6936.74,6968.33,6890.66,6924.99
10/18/22,6920.24,7017.4,6920.24,6936.74
10/17/22,6858.79,6959.71,6850.43,6920.24
10/14/22,6850.27,6976.3,6850.27,6858.79
10/13/22,6826.15,6872.9,6707.62,6850.27
2010-12-22,6885.23,6916.94,6793.77,6826.15
2010-11-22,6959.31,6959.43,6860.31,6885.23
2010-10-22,6991.09,6999.2,6922.94,6959.31
2010-07-22,6997.27,7022.41,6960.36,6991.09
2010-06-22,7052.62,7079.74,6961.1,6997.27
2010-05-22,7086.46,7086.46,6977.95,7052.62
2010-04-22,6908.76,7088.17,6908.67,7086.46
2010-03-22,6893.81,6923.75,6797.37,6908.76
09/30/22,6881.59,6954.92,6840.07,6893.81
09/29/22,7005.39,7005.39,6829.29,6881.59
09/28/22,6984.59,7011.5,6836.28,7005.39
09/27/22,7020.95,7073.96,6984.59,6984.59
09/26/22,7018.6,7071.11,6937.4,7020.95
09/23/22,7159.52,7169.12,6981.5,7018.6
09/22/22,7237.64,7243.9,7149.59,7159.52
09/21/22,7192.66,7258.87,7170.69,7237.64
09/20/22,7236.68,7326.54,7171.24,7192.66
09/16/22,7282.07,7297.1,7236.17,7236.68
09/15/22,7277.3,7329,7258.67,7282.07
09/14/22,7385.86,7385.86,7259.24,7277.3
09/13/22,7473.03,7514.04,7385.86,7385.86
2009-12-22,7351.07,7483,7351.07,7473.03
2009-09-22,7262.06,7386.59,7262.06,7351.07
2009-08-22,7237.83,7273.01,7175.75,7262.06
2009-07-22,7300.44,7300.44,7186.56,7237.83
2009-06-22,7287.43,7324.19,7256.51,7300.44
2009-05-22,7281.19,7288.46,7191.17,7287.43
2009-02-22,7148.5,7288.72,7148.5,7281.19
2009-01-22,7284.15,7284.15,7131.69,7148.5
08/31/22,7361.63,7378.44,7263.62,7284.15
08/30/22,7427.31,7486.4,7351.12,7361.63
08/26/22,7479.74,7530.65,7422.02,7427.31
08/25/22,7471.51,7535.7,7469.17,7479.74
08/24/22,7488.11,7488.12,7410.4,7471.51
08/23/22,7533.79,7533.79,7467.56,7488.11
08/22/22,7550.37,7550.41,7491.26,7533.79
08/19/22,7541.85,7578.85,7513.26,7550.37
08/18/22,7515.75,7541.89,7493.66,7541.85
08/17/22,7536.06,7554.04,7501.54,7515.75
08/16/22,7509.15,7563.67,7509.15,7536.06
08/15/22,7500.89,7539.21,7463.51,7509.15
2008-12-22,7465.91,7516.83,7464.12,7500.89
2008-11-22,7507.11,7515,7460.11,7465.91
2008-10-22,7488.15,7520.72,7468.64,7507.11
2008-09-22,7482.37,7504.64,7475.04,7488.15
2008-08-22,7439.74,7513.76,7439.74,7482.37
2008-05-22,7448.06,7470.63,7420.16,7439.74
2008-04-22,7445.68,7491.74,7417.49,7448.06
2008-03-22,7409.11,7445.9,7372.71,7445.68
2008-02-22,7413.42,7433.34,7386.76,7409.11
2008-01-22,7450.24,7471.87,7408.94,7413.42
07/29/22,7345.25,7441.2,7345.25,7423.43
07/28/22,7348.23,7396.2,7308.99,7345.25
07/27/22,7306.28,7365.22,7306.28,7348.23
07/26/22,7306.3,7365.37,7301.19,7306.28
07/25/22,7276.37,7309.65,7242.9,7306.3
07/22/22,7270.51,7315.34,7254.02,7276.37
07/21/22,7264.31,7274.73,7200.14,7270.51
07/20/22,7296.28,7347.6,7253.56,7264.31
07/19/22,7223.24,7308.99,7174.4,7296.28
07/18/22,7159.01,7268.88,7159.01,7223.24
07/15/22,7039.81,7167.85,7038.15,7159.01
07/14/22,7156.37,7157.62,7007.09,7039.81
07/13/22,7209.86,7209.86,7104.06,7156.37
2007-12-22,7196.59,7216.9,7143.31,7209.86
2007-11-22,7196.24,7204.06,7097.42,7196.59
2007-08-22,7189.08,7210.58,7129.15,7196.24
2007-07-22,7107.77,7213.05,7107.77,7189.08
2007-06-22,7025.47,7198.72,7025.35,7107.77
2007-05-22,7232.65,7260.3,7016.78,7025.47
2007-04-22,7168.65,7258.46,7168.65,7232.65
2007-01-22,7169.28,7214.82,7101.38,7168.65
06/30/22,7312.32,7312.32,7110.7,7169.28
06/29/22,7323.41,7345.45,7263.54,7312.32
06/28/22,7258.32,7362.37,7258.32,7323.41
06/27/22,7208.81,7284.48,7208.52,7258.32
06/24/22,7020.45,7211.07,7016.02,7208.81
06/23/22,7089.22,7115.8,7014.19,7020.45
06/22/22,7152.05,7152.05,7030.03,7089.22
06/21/22,7121.81,7193.9,7119.25,7152.05
06/20/22,7016.25,7129.64,7016.15,7121.81
06/17/22,7044.98,7130.62,6998.17,7016.25
06/16/22,7273.41,7273.41,7039.47,7044.98
06/15/22,7187.46,7313.7,7186.5,7273.41
06/14/22,7205.81,7271.85,7135.15,7187.46
06/13/22,7317.52,7317.52,7174.02,7205.81
2006-10-22,7476.21,7476.21,7294.2,7317.52
2006-09-22,7593,7593,7472.29,7476.21
2006-08-22,7598.93,7616.22,7550.65,7593
2006-07-22,7608.22,7617.53,7570.67,7598.93
2006-06-22,7532.95,7646.66,7532.84,7608.22
2006-01-22,7607.66,7639.21,7529.23,7532.95
05/31/22,7600.06,7648.26,7591.84,7607.66
05/30/22,7585.46,7625.63,7576.37,7600.06
05/27/22,7564.92,7597.64,7542.78,7585.46
05/26/22,7522.75,7575.53,7512.45,7564.92
05/25/22,7484.35,7546.41,7484.35,7522.75
05/24/22,7513.44,7529.65,7434.46,7484.35
05/23/22,7389.98,7513.44,7389.98,7513.44
05/20/22,7302.74,7453.49,7302.74,7389.98
05/19/22,7438.09,7438.09,7228.67,7302.74
05/18/22,7518.35,7526.14,7438.09,7438.09
05/17/22,7464.8,7538.68,7464.8,7518.35
05/16/22,7418.15,7464.8,7361.72,7464.8
05/13/22,7233.34,7421.95,7233.34,7418.15
2005-12-22,7347.66,7347.66,7158.53,7233.34
2005-11-22,7243.22,7349.7,7238.97,7347.66
2005-10-22,7216.58,7311.65,7216.58,7243.22
2005-09-22,7387.94,7391.59,7216.58,7216.58
2005-06-22,7503.27,7503.27,7354.06,7387.94
2005-05-22,7493.45,7619.39,7493.45,7503.27
2005-04-22,7561.33,7572.65,7493.45,7493.45
2005-03-22,7544.55,7561.33,7475.69,7561.33
04/29/22,7509.19,7569.8,7509.19,7544.55
04/28/22,7425.61,7519.7,7425.61,7509.19
04/27/22,7386.19,7458.24,7344.89,7425.61
04/26/22,7380.54,7463.15,7380.54,7386.19
04/25/22,7521.68,7521.68,7339.53,7380.54
04/22/22,7627.95,7628.03,7521.68,7521.68
04/21/22,7629.22,7656.47,7596.29,7627.95
04/20/22,7601.28,7637.87,7590.62,7629.22
04/19/22,7616.38,7624.9,7565.81,7601.28
04/14/22,7580.8,7622.41,7551.39,7616.38
04/13/22,7576.66,7597.85,7550.94,7580.8
2004-12-22,7618.31,7618.31,7543.03,7576.66
2004-11-22,7669.56,7669.56,7611.68,7618.31
2004-08-22,7551.81,7669.56,7551.81,7669.56
2004-07-22,7587.7,7601.52,7537.25,7551.81
2004-06-22,7613.72,7614.13,7536.2,7587.7
2004-05-22,7558.92,7613.72,7536.21,7613.72
2004-04-22,7537.9,7574.33,7532.23,7558.92
2004-01-22,7515.68,7552.46,7508.92,7537.9
03/31/22,7578.75,7595.42,7515.68,7515.68
03/30/22,7537.25,7578.75,7523.82,7578.75
03/29/22,7473.14,7584.11,7473.14,7537.25
03/28/22,7483.35,7539.3,7471.47,7473.14
03/25/22,7467.38,7502.67,7441.28,7483.35
03/24/22,7460.63,7492,7453.25,7467.38
03/23/22,7476.72,7521.14,7459.36,7460.63
03/22/22,7442.39,7490.46,7442.39,7476.72
03/21/22,7404.73,7464.95,7402.6,7442.39
03/18/22,7385.34,7406.13,7318.9,7404.73
03/17/22,7291.68,7385.34,7260.51,7385.34
03/16/22,7175.7,7312.23,7175.7,7291.68
03/15/22,7193.47,7193.47,7075.82,7175.7
03/14/22,7155.64,7222.87,7143.95,7193.47
2003-11-22,7099.09,7260.4,7099.03,7155.64
2003-10-22,7190.72,7192.75,7065.96,7099.09
2003-09-22,6964.11,7190.72,6964.11,7190.72
2003-08-22,6959.48,7013.51,6893.55,6964.11
2003-07-22,6987.14,7030.74,6787.98,6959.48
2003-04-22,7238.85,7238.85,6980.86,6987.14
2003-03-22,7429.56,7468.83,7231.51,7238.85
2003-02-22,7330.2,7462.22,7320.77,7429.56
2003-01-22,7458.25,7499.33,7327.79,7330.2
02/28/22,7489.46,7489.46,7361.59,7458.25
02/25/22,7207.38,7497.94,7207.38,7489.46
02/24/22,7498.18,7498.18,7204.74,7207.38
02/23/22,7494.21,7549.98,7490.54,7498.18
02/22/22,7484.33,7531.32,7365.04,7494.21
02/21/22,7513.62,7571.07,7446.43,7484.33
02/18/22,7537.37,7570.56,7508.73,7513.62
02/17/22,7603.78,7607.24,7499.86,7537.37
02/16/22,7608.92,7630.72,7560.94,7603.78
02/15/22,7531.59,7608.92,7513.16,7608.92
02/14/22,7661.02,7661.02,7483.36,7531.59
2002-11-22,7672.4,7672.4,7596.11,7661.02
2002-10-22,7643.42,7687.27,7622.74,7672.4
2002-09-22,7567.07,7657.93,7567.07,7643.42
2002-08-22,7573.47,7631.31,7548.19,7567.07
2002-07-22,7516.4,7591.65,7508.48,7573.47
2002-04-22,7528.84,7599.73,7497.21,7516.4
2002-03-22,7583,7605.75,7528.69,7528.84
2002-02-22,7535.78,7605.64,7535.78,7583
